county,fips_county,dcedregion,Lat,Long_,year,month,JH_cases,Labor_Force,Employed,Unemployed,Unemployment_Rate
Adams,42001,3: SC Pa.,39.87140411,-77.21610347,2020,Jan,0,"54,600","52,500","2,100",3.90%
Allegheny,42003,5: SW Pa.,40.46809875,-79.98167747,2020,Jan,0,"650,900","620,000","30,900",4.70%
Armstrong,42005,5: SW Pa.,40.81665618,-79.46290811,2020,Jan,0,"32,800","30,400","2,400",7.30%
Beaver,42007,5: SW Pa.,40.6825484,-80.34921611,2020,Jan,0,"84,700","79,900","4,800",5.60%
Bedford,42009,4: Cent Pa.,40.00522157,-78.48998442,2020,Jan,0,"23,800","22,200","1,600",6.50%
Berks,42011,2: NE Pa.,40.41570541,-75.92457766,2020,Jan,0,"216,800","206,000","10,900",5.00%
Blair,42013,4: Cent Pa.,40.47961444,-78.34917412,2020,Jan,0,"59,600","56,400","3,200",5.40%
Bradford,42015,2: NE Pa.,41.78869215,-76.51570822,2020,Jan,0,"28,900","27,300","1,600",5.60%
Bucks,42017,1: SE Pa.,40.33682119,-75.10836643,2020,Jan,0,"346,300","330,900","15,300",4.40%
Butler,42019,5: SW Pa.,40.91152759,-79.91351055,2020,Jan,0,"100,400","95,500","4,900",4.90%
Cambria,42021,4: Cent Pa.,40.49527404,-78.71377428,2020,Jan,0,"58,200","54,400","3,800",6.50%
Cameron,42023,6: NW Pa.,41.43625568,-78.20376845,2020,Jan,0,"2,000","1,900",200,8.20%
Carbon,42025,2: NE Pa.,40.91545395,-75.7068525,2020,Jan,0,"32,500","30,500","2,000",6.10%
Centre,42027,4: Cent Pa.,40.92058903,-77.82200624,2020,Jan,0,"81,800","78,700","3,100",3.80%
Chester,42029,1: SE Pa.,39.97291773,-75.74768357,2020,Jan,0,"284,700","274,600","10,100",3.50%
Clarion,42031,6: NW Pa.,41.19265812,-79.42413524,2020,Jan,0,"17,000","15,900","1,200",6.90%
Clearfield,42033,6: NW Pa.,41.00110782,-78.47592663,2020,Jan,0,"36,700","34,100","2,600",7.20%
Clinton,42035,4: Cent Pa.,41.23255967,-77.63785995,2020,Jan,0,"18,300","17,000","1,300",6.90%
Columbia,42037,2: NE Pa.,41.04821986,-76.40565017,2020,Jan,0,"33,500","31,400","2,100",6.20%
Crawford,42039,6: NW Pa.,41.68447709,-80.10760592,2020,Jan,0,"38,400","36,100","2,300",6.00%
Cumberland,42041,3: SC Pa.,40.1625372,-77.26130755,2020,Jan,0,"133,200","128,100","5,000",3.80%
Dauphin,42043,3: SC Pa.,40.41377078,-76.77993242,2020,Jan,0,"145,700","139,200","6,500",4.50%
Delaware,42045,1: SE Pa.,39.91680171,-75.40243663,2020,Jan,0,"301,000","287,600","13,400",4.40%
Elk,42047,6: NW Pa.,41.42822061,-78.64524744,2020,Jan,0,"15,600","14,500","1,100",6.90%
Erie,42049,6: NW Pa.,41.99253829,-80.03301954,2020,Jan,0,"129,000","121,500","7,500",5.80%
Fayette,42051,5: SW Pa.,39.92041012,-79.64291195,2020,Jan,0,"58,200","53,500","4,700",8.00%
Forest,42053,6: NW Pa.,41.51095103,-79.23229292,2020,Jan,0,"1,800","1,600",200,9.60%
Franklin,42055,3: SC Pa.,39.92956518,-77.72157791,2020,Jan,0,"78,800","75,300","3,500",4.40%
Fulton,42057,4: Cent Pa.,39.92913544,-78.11163677,2020,Jan,0,"8,200","7,600",500,6.40%
Greene,42059,5: SW Pa.,39.85746531,-80.22357106,2020,Jan,0,"16,800","15,700","1,100",6.60%
Huntingdon,42061,4: Cent Pa.,40.42162652,-77.97673273,2020,Jan,0,"19,900","18,200","1,700",8.40%
Indiana,42063,5: SW Pa.,40.65241041,-79.08963285,2020,Jan,0,"38,800","36,200","2,600",6.70%
Jefferson,42065,6: NW Pa.,41.12913106,-78.9986361,2020,Jan,0,"20,700","19,400","1,300",6.50%
Juniata,42067,4: Cent Pa.,40.53358749,-77.3997513,2020,Jan,0,"12,700","12,000",700,5.50%
Lackawanna,42069,2: NE Pa.,41.43564672,-75.60379201,2020,Jan,0,"105,600","99,500","6,100",5.70%
Lancaster,42071,3: SC Pa.,40.03904563,-76.24770128,2020,Jan,0,"284,400","273,100","11,300",4.00%
Lawrence,42073,5: SW Pa.,40.99206278,-80.33393706,2020,Jan,0,"40,900","37,900","3,000",7.40%
Lebanon,42075,3: SC Pa.,40.36680311,-76.45651841,2020,Jan,0,"72,400","69,100","3,300",4.50%
Lehigh,42077,2: NE Pa.,40.6154815,-75.59435245,2020,Jan,0,"194,200","184,700","9,600",4.90%
Luzerne,42079,2: NE Pa.,41.17823008,-75.98447579,2020,Jan,0,"158,600","147,900","10,700",6.70%
Lycoming,42081,4: Cent Pa.,41.34310539,-77.06629984,2020,Jan,0,"57,600","54,200","3,500",6.00%
McKean,42083,6: NW Pa.,41.80938602,-78.56478358,2020,Jan,0,"17,400","16,200","1,200",7.10%
Mercer,42085,6: NW Pa.,41.30248872,-80.25816981,2020,Jan,0,"48,600","45,700","2,900",6.00%
Mifflin,42087,4: Cent Pa.,40.61116939,-77.61070738,2020,Jan,0,"21,200","20,000","1,200",5.70%
Monroe,42089,2: NE Pa.,41.05934058,-75.34031025,2020,Jan,0,"84,600","79,300","5,300",6.30%
Montgomery,42091,1: SE Pa.,40.21053671,-75.36652296,2020,Jan,0,"457,000","439,200","17,800",3.90%
Montour,42093,4: Cent Pa.,41.03023987,-76.66345939,2020,Jan,0,"9,000","8,600",400,4.30%
Northampton,42095,2: NE Pa.,40.75182733,-75.30471829,2020,Jan,0,"162,900","154,600","8,300",5.10%
Northumberland,42097,4: Cent Pa.,40.84785433,-76.70798222,2020,Jan,0,"42,300","39,300","3,000",7.00%
Perry,42099,3: SC Pa.,40.40206612,-77.26297447,2020,Jan,0,"24,700","23,500","1,100",4.60%
Philadelphia,42101,1: SE Pa.,40.00338507,-75.1379271,2020,Jan,0,"733,900","690,100","43,900",6.00%
Pike,42103,2: NE Pa.,41.33155042,-75.03208106,2020,Jan,0,"25,500","23,800","1,700",6.70%
Potter,42105,6: NW Pa.,41.74471626,-77.89559864,2020,Jan,0,"7,300","6,600",700,9.20%
Schuylkill,42107,2: NE Pa.,40.70497338,-76.2150785,2020,Jan,0,"67,000","62,900","4,100",6.10%
Snyder,42109,4: Cent Pa.,40.77129231,-77.06840691,2020,Jan,0,"19,900","18,700","1,200",6.10%
Somerset,42111,4: Cent Pa.,39.97172723,-79.02699593,2020,Jan,0,"34,400","31,900","2,400",7.10%
Sullivan,42113,2: NE Pa.,41.44634738,-76.51246591,2020,Jan,0,"2,600","2,400",200,7.60%
Susquehanna,42115,2: NE Pa.,41.82147784,-75.80071959,2020,Jan,0,"20,600","19,300","1,200",5.90%
Tioga,42117,2: NE Pa.,41.77255149,-77.25433032,2020,Jan,0,"19,100","17,800","1,300",6.90%
Union,42119,4: Cent Pa.,40.96188846,-77.05996014,2020,Jan,0,"19,400","18,500",900,4.70%
Venango,42121,6: NW Pa.,41.40323442,-79.75845449,2020,Jan,0,"22,400","20,900","1,400",6.30%
Warren,42123,6: NW Pa.,41.81304978,-79.26969577,2020,Jan,0,"18,900","17,800","1,100",5.70%
Washington,42125,5: SW Pa.,40.19208869,-80.24582867,2020,Jan,0,"107,900","101,900","6,000",5.60%
Wayne,42127,2: NE Pa.,41.64938475,-75.29956506,2020,Jan,0,"22,200","20,700","1,500",6.80%
Westmoreland,42129,5: SW Pa.,40.3137798,-79.46615476,2020,Jan,0,"182,400","172,300","10,200",5.60%
Wyoming,42131,2: NE Pa.,41.51955538,-76.01074915,2020,Jan,0,"13,700","12,800",900,6.40%
